,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
0,1,2017-07-01,14.0,Düsseldorf,Düsseldorf,Individual Time Trial,Geraint Thomas,GBR,2017
1,2,2017-07-02,203.5,Düsseldorf,Liège,Flat Stage,Marcel Kittel,GER,2017
2,3,2017-07-03,212.5,Verviers,Longwy,Mountain Stage,Peter Sagan,SVK,2017
3,4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat Stage,Arnaud Démare,FRA,2017
4,5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,Mountain Stage,Fabio Aru,ITA,2017
5,6,2017-07-06,216.0,Vesoul,Troyes,Flat Stage,Marcel Kittel,GER,2017
6,7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,Flat Stage,Marcel Kittel,GER,2017
7,8,2017-07-08,187.5,Dole,Station des Rousses,Mountain Stage,Lilian Calmejane,FRA,2017
8,9,2017-07-09,181.5,Nantua,Chambéry,Mountain Stage,Rigoberto Urán,COL,2017
9,10,2017-07-11,178.0,Périgueux,Bergerac,Flat Stage,Marcel Kittel,GER,2017
10,11,2017-07-12,203.5,Eymet,Pau,Flat Stage,Marcel Kittel,GER,2017
11,12,2017-07-13,214.5,Pau,Peyragudes,Mountain Stage,Romain Bardet,FRA,2017
12,13,2017-07-14,101.0,Saint-Girons,Foix,Mountain Stage,Warren Barguil,FRA,2017
13,14,2017-07-15,181.5,Blagnac,Rodez,Mountain Stage,Michael Matthews,AUS,2017
14,15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Mountain Stage,Bauke Mollema,NED,2017
15,16,2017-07-18,165.0,Le Puy-en-Velay,Romans-sur-Isère,Mountain Stage,Michael Matthews,AUS,2017
16,17,2017-07-19,183.0,La Mure,Serre Chevalier,Mountain Stage,Primož Roglič,SLO,2017
17,18,2017-07-20,179.5,Briançon,Col d'Izoard,Mountain Stage,Warren Barguil,FRA,2017
18,19,2017-07-21,222.5,Embrun,Salon-de-Provence,Flat Stage,Edvald Boasson Hagen,NOR,2017
19,20,2017-07-22,22.5,Marseille,Marseille,Individual Time Trial,Maciej Bodnar,POL,2017
20,21,2017-07-23,103.0,Montgeron,Paris,Flat Stage,Dylan Groenewegen,NED,2017
21,1,2016-07-02,188.0,Mont Saint-Michel,Utah Beach,Flat Stage,Mark Cavendish,GBR,2016
22,2,2016-07-03,183.0,Saint-Lô,Cherbourg-en-Cotentin,Flat Stage,Peter Sagan,SVK,2016
23,3,2016-07-04,223.5,Granville,Angers,Flat Stage,Mark Cavendish,GBR,2016
24,4,2016-07-05,237.5,Saumur,Limoges,Flat Stage,Marcel Kittel,GER,2016
25,5,2016-07-06,216.0,Limoges,Le Lioran,Mountain Stage,Greg Van Avermaet,BEL,2016
26,6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,Flat Stage,Mark Cavendish,GBR,2016
27,7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,Mountain Stage,Steve Cummings,GBR,2016
28,8,2016-07-09,184.0,Pau,Bagnères-de-Luchon,Mountain Stage,Chris Froome,GBR,2016
29,9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,Mountain Stage,Tom Dumoulin,NED,2016
30,10,2016-07-12,197.0,Escaldes-Engordany,Revel,Mountain Stage,Michael Matthews,AUS,2016
31,11,2016-07-13,162.5,Carcassonne,Montpellier,Flat Stage,Peter Sagan,SVK,2016
32,12,2016-07-14,178.0,Montpellier,Chalet Reynard,Mountain Stage,Thomas De Gendt,BEL,2016
33,13,2016-07-15,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual Time Trial,Tom Dumoulin,NED,2016
34,14,2016-07-16,208.5,Montélimar,Villars-les-Dombes,Flat Stage,Mark Cavendish,GBR,2016
35,15,2016-07-17,160.0,Bourg-en-Bresse,Culoz,Mountain Stage,Jarlinson Pantano,COL,2016
36,16,2016-07-18,209.0,Moirans-en-Montagne,Bern,Flat Stage,Peter Sagan,SVK,2016
37,17,2016-07-20,184.5,Bern,Finhaut-Émosson,Mountain Stage,Ilnur Zakarin,RUS,2016
38,18,2016-07-21,17.0,Sallanches,Megève,Individual Time Trial,Chris Froome,GBR,2016
39,19,2016-07-22,146.0,Albertville,Saint Gervais-les-Bains,Mountain Stage,Romain Bardet,FRA,2016
40,20,2016-07-23,146.5,Megève,Morzine,Mountain Stage,Ion Izagirre,ESP,2016
41,21,2016-07-24,113.0,Chantilly,Paris,Flat Stage,André Greipel,GER,2016
42,1,2015-07-04,13.8,Utrecht,Utrecht,Individual Time Trial,Rohan Dennis,AUS,2015
43,2,2015-07-05,166.0,Utrecht,Zeeland,Flat Stage,André Greipel,GER,2015
44,3,2015-07-06,159.5,Antwerp,Huy,Flat Stage,Joaquim Rodríguez,ESP,2015
45,4,2015-07-07,223.5,Seraing,Cambrai,Mountain Stage,Tony Martin,GER,2015
46,5,2015-07-08,189.5,Arras,Amiens,Flat Stage,André Greipel,GER,2015
47,6,2015-07-09,191.5,Abbeville,Le Havre,Flat Stage,Zdeněk Štybar,CZE,2015
48,7,2015-07-10,190.5,Livarot,Fougères,Flat Stage,Mark Cavendish,GBR,2015
49,8,2015-07-11,181.5,Rennes,Mûr-de-Bretagne,Flat Stage,Alexis Vuillermoz,FRA,2015
50,9,2015-07-12,28.0,Vannes,Plumelec,Team Time Trial,BMC Racing Team,,2015
51,10,2015-07-14,167.0,Tarbes,La Pierre Saint-Martin,Mountain Stage,Chris Froome,GBR,2015
52,11,2015-07-15,188.0,Pau,Cauterets,Mountain Stage,Rafał Majka,POL,2015
53,12,2015-07-16,195.0,Lannemezan,Plateau de Beille,Mountain Stage,Joaquim Rodríguez,ESP,2015
54,13,2015-07-17,198.5,Muret,Rodez,Mountain Stage,Greg Van Avermaet,BEL,2015
55,14,2015-07-18,178.5,Rodez,Mende,Mountain Stage,Steve Cummings,GBR,2015
56,15,2015-07-19,183.0,Mende,Valence,Mountain Stage,André Greipel,GER,2015
57,16,2015-07-20,201.0,Bourg-de-Péage,Gap,Mountain Stage,Rubén Plaza Molina,ESP,2015
58,17,2015-07-22,161.0,Digne-les-Bains,Pra-Loup,Mountain Stage,Simon Geschke,GER,2015
59,18,2015-07-23,186.5,Gap,Saint-Jean-de-Maurienne,Mountain Stage,Romain Bardet,FRA,2015
60,19,2015-07-24,138.0,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,Mountain Stage,Vincenzo Nibali,ITA,2015
61,20,2015-07-25,110.5,Modane,Alpe d'Huez,Mountain Stage,Thibaut Pinot,FRA,2015
